MUN;CONF
FAROL;0
FAXINAL;0
FAZENDA RIO GRANDE;0
FENIX;0
FERNANDES PINHEIRO;0
FIGUEIRA;0
FLOR DA SERRA DO SUL;0
FLORAI;0
FLORESTA;0
FLORESTOPOLIS;0
FLORIDA;0
FORMOSA DO OESTE;0
FOZ DO IGUACU;0
FOZ DO JORDAO;0
FRANCISCO ALVES;0
FRANCISCO BELTRAO;0
GENERAL CARNEIRO;0
GODOY MOREIRA;0
GOIOERE;0
GOIOXIM;0
GRANDES RIOS;0
GUAIRA;0
GUAIRACA;0
GUAMIRANGA;0
GUAPIRAMA;0
GUAPOREMA;0
GUARACI;0
GUARANIACU;0
GUARAPUAVA;0
GUARAQUECABA;0
GUARATUBA;0
HONORIO SERPA;0
IBAITI;0
IBEMA;0
IBIPORA;0
ICARAIMA;0
IGUARACU;0
IGUATU;0
IMBAU;0
IMBITUVA;0
INACIO MARTINS;0
INAJA;0
INDIANOPOLIS;0
IPIRANGA;0
IPORA;0
IRACEMA DO OESTE;0
IRATI;0
IRETAMA;0
ITAGUAJE;0
ITAIPULANDIA;0
ITAMBARACA;0
ITAMBE;0
ITAPEJARA DOESTE;0
ITAPERUCU;0
ITAUNA DO SUL;0
IVAI;0
IVAIPORA;0
IVATE;0
IVATUBA;0
JABOTI;0
JACAREZINHO;0
JAGUAPITA;0
JAGUARIAIVA;0
JANDAIA DO SUL;0
JANIOPOLIS;0
JAPIRA;0
JAPURA;0
JARDIM ALEGRE;0
JARDIM OLINDA;0
JATAIZINHO;0
JESUITAS;0
JOAQUIM TAVORA;0
JUNDIAI DO SUL;0
JURANDA;0
JUSSARA;0
KALORE;0
LAPA;0
LARANJAL;0
LARANJEIRAS DO SUL;0
LEOPOLIS;0
LIDIANOPOLIS;0
LINDOESTE;0
LOANDA;0
LOBATO;0
LONDRINA;0
LUIZIANA;0
LUNARDELLI;0
LUPIONOPOLIS;0
MALLET;0
MAMBORE;0
MANDAGUACU;0
MANDAGUARI;0
MANDIRITUBA;0
MANFRINOPOLIS;0
MANGUEIRINHA;0
MANOEL RIBAS;0
MARECHAL CANDIDO RONDON;0
MARIA HELENA;0
MARIALVA;0
MARILANDIA DO SUL;0
MARILENA;0
MARILUZ;0
MARINGA;0
MARIOPOLIS;0
MARIPA;0
MARMELEIRO;0
MARQUINHO;0
MARUMBI;0
MATELANDIA;0
MATINHOS;0
MATO RICO;0
MAUA DA SERRA;0
MEDIANEIRA;0
MERCEDES;0
MIRADOR;0
MIRASELVA;0
MISSAL;0
MOREIRA SALES;0
MORRETES;0
MUNHOZ DE MELO;0
NOSSA SENHORA DAS GRACAS;0
NOVA ALIANCA DO IVAI;0
NOVA AMERICA DA COLINA;0
NOVA AURORA;0
NOVA CANTU;0
NOVA ESPERANCA;0
NOVA ESPERANCA DO SUDOESTE;0
NOVA FATIMA;0
NOVA LARANJEIRAS;0
NOVA LONDRINA;0
NOVA OLIMPIA;0
NOVA PRATA DO IGUACU;0
NOVA SANTA BARBARA;0
NOVA SANTA ROSA;0
NOVA TEBAS;0
NOVO ITACOLOMI;0
ORTIGUEIRA;0
OURIZONA;0
OURO VERDE DO OESTE;0
PAICANDU;0
PALMAS;0
PALMEIRA;0
PALMITAL;0
PALOTINA;0
PARAISO DO NORTE;0
PARANACITY;0
PARANAGUA;0
PARANAPOEMA;0
PARANAVAI;0
PATO BRAGADO;0
PATO BRANCO;0
PAULA FREITAS;0
PAULO FRONTIN;0
PEABIRU;0
PEROBAL;0
PEROLA;0
PEROLA DOESTE;0
PIEN;0
PINHAIS;0
PINHAL DE SAO BENTO;0
PINHALAO;0
PINHAO;0
PIRAI DO SUL;0
PIRAQUARA;0
PITANGA;0
PITANGUEIRAS;0
PLANALTINA DO PARANA;0
PLANALTO;0
PONTA GROSSA;0
PONTAL DO PARANA;0
PORECATU;0
PORTO AMAZONAS;0
PORTO BARREIRO;0
PORTO RICO;0
PORTO VITORIA;0
PRADO FERREIRA;0
PRANCHITA;0
PRESIDENTE CASTELO BRANCO;0
PRIMEIRO DE MAIO;0
PRUDENTOPOLIS;0
QUARTO CENTENARIO;0
QUATIGUA;0
QUATRO BARRAS;0
QUATRO PONTES;0
QUEDAS DO IGUACU;0
QUERENCIA DO NORTE;0
QUINTA DO SOL;0
QUITANDINHA;0
RAMILANDIA;0
RANCHO ALEGRE;0
RANCHO ALEGRE DOESTE;0
REALEZA;0
REBOUCAS;0
RENASCENCA;0
RESERVA;0
RESERVA DO IGUACU;0
RIBEIRAO CLARO;0
RIBEIRAO DO PINHAL;0
RIO AZUL;0
RIO BOM;0
RIO BONITO DO IGUACU;0
RIO BRANCO DO IVAI;0
RIO BRANCO DO SUL;0
RIO NEGRO;0
ROLANDIA;0
RONCADOR;0
RONDON;0
ROSARIO DO IVAI;0
SABAUDIA;0
SALGADO FILHO;0
SALTO DO ITARARE;0
SALTO DO LONTRA;0
SANTA AMELIA;0
SANTA CECILIA DO PAVAO;0
SANTA CRUZ DE MONTE CASTELO;0
SANTA FE;0
SANTA HELENA;0
SANTA INES;0
SANTA ISABEL DO IVAI;0
SANTA IZABEL DO OESTE;0
SANTA LUCIA;0
SANTA MARIA DO OESTE;0
SANTA MARIANA;0
SANTA MONICA;0
SANTA TEREZA DO OESTE;0
SANTA TEREZINHA DE ITAIPU;0
SANTANA DO ITARARE;0
SANTO ANTONIO DA PLATINA;0
SANTO ANTONIO DO CAIUA;0
SANTO ANTONIO DO PARAISO;0
SANTO ANTONIO DO SUDOESTE;0
SANTO INACIO;0
SAO CARLOS DO IVAI;0
SAO JERONIMO DA SERRA;0
SAO JOAO;0
SAO JOAO DO CAIUA;0
SAO JOAO DO IVAI;0
SAO JOAO DO TRIUNFO;0
SAO JORGE DO IVAI;0
SAO JORGE DO PATROCINIO;0
SAO JORGE DOESTE;0
SAO JOSE DA BOA VISTA;0
SAO JOSE DAS PALMEIRAS;0
SAO JOSE DOS PINHAIS;0
SAO MANOEL DO PARANA;0
SAO MATEUS DO SUL;0
SAO MIGUEL DO IGUACU;0
SAO PEDRO DO IGUACU;0
SAO PEDRO DO IVAI;0
SAO PEDRO DO PARANA;0
SAO SEBASTIAO DA AMOREIRA;0
SAO TOME;0
SAPOPEMA;0
SARANDI;0
SAUDADE DO IGUACU;0
SENGES;0
SERRANOPOLIS DO IGUACU;0
SERTANEJA;0
SERTANOPOLIS;0
SIQUEIRA CAMPOS;0
SULINA;0
TAMARANA;0
TAMBOARA;0
TAPEJARA;0
TAPIRA;0
TEIXEIRA SOARES;0
TELEMACO BORBA;0
TERRA BOA;0
TERRA RICA;0
TERRA ROXA;0
TIBAGI;0
TIJUCAS DO SUL;0
TOLEDO;0
TOMAZINA;0
TRES BARRAS DO PARANA;0
TUNAS DO PARANA;0
TUNEIRAS DO OESTE;0
TUPASSI;0
TURVO;0
UBIRATA;0
UMUARAMA;0
UNIAO DA VITORIA;0
UNIFLOR;0
URAI;0
VENTANIA;0
VERA CRUZ DO OESTE;0
VERE;0
VILA ALTA;0
VIRMOND;0
VITORINO;0
WENCESLAU BRAZ;0
XAMBRE;0
