MUN;CONF
CURITIBA;77
ABATIA;0
ADRIANOPOLIS;0
AGUDOS DO SUL;0
ALMIRANTE TAMANDARE;2
ALTAMIRA DO PARANA;0
ALTO PARANA;0
ALTO PIQUIRI;0
ALTONIA;0
ALVORADA DO SUL;0
AMAPORA;0
AMPERE;0
ANAHY;0
ANDIRA;0
ANGULO;0
ANTONINA;0
ANTONIO OLINTO;0
APUCARANA;0
ARAPONGAS;0
ARAPOTI;0
ARAPUA;0
ARARUNA;0
ARAUCARIA;0
ARIRANHA DO IVAI;0
ASSAI;0
ASSIS CHATEAUBRIAND;0
ASTORGA;0
ATALAIA;0
BALSA NOVA;0
BANDEIRANTES;0
BARBOSA FERRAZ;0
BARRA DO JACARE;0
BARRACAO;0
BELA VISTA DA CAROBA;0
BELA VISTA DO PARAISO;0
BITURUNA;0
BOA ESPERANCA;0
BOA ESPERANCA DO IGUACU;0
BOA VENTURA DE SAO ROQUE;0
BOA VISTA DA APARECIDA;0
BOCAIUVA DO SUL;0
BOM JESUS DO SUL;0
BOM SUCESSO;0
BOM SUCESSO DO SUL;0
BORRAZOPOLIS;0
BRAGANEY;0
BRASILANDIA DO SUL;0
CAFEARA;0
CAFELANDIA;0
CAFEZAL DO SUL;0
CALIFORNIA;0
CAMBARA;0
CAMBE;0
CAMBIRA;0
CAMPINA DA LAGOA;0
CAMPINA DO SIMAO;0
CAMPINA GRANDE DO SUL;0
CAMPO BONITO;0
CAMPO DO TENENTE;0
CAMPO LARGO;3
CAMPO MAGRO;0
CAMPO MOURAO;2
CANDIDO DE ABREU;0
CANDOI;0
CANTAGALO;0
CAPANEMA;0
CAPITAO LEONIDAS MARQUES;0
CARAMBEI;0
CARLOPOLIS;0
CASCAVEL;8
CASTRO;1
CATANDUVAS;0
CENTENARIO DO SUL;0
CERRO AZUL;0
CEU AZUL;0
CHOPINZINHO;0
CIANORTE;7
CIDADE GAUCHA;0
CLEVELANDIA;0
COLOMBO;0
COLORADO;0
CONGONHINHAS;0
CONSELHEIRO MAIRINCK;0
CONTENDA;1
CORBELIA;0
CORNELIO PROCOPIO;0
CORONEL DOMINGOS SOARES;0
CORONEL VIVIDA;0
CORUMBATAI DO SUL;0
CRUZ MACHADO;0
CRUZEIRO DO IGUACU;0
CRUZEIRO DO OESTE;0
CRUZEIRO DO SUL;0
CRUZMALTINA;0
CURIUVA;0
DIAMANTE DO NORTE;0
DIAMANTE DO SUL;0
DIAMANTE DOESTE;0
DOIS VIZINHOS;0
DOURADINA;0
DOUTOR CAMARGO;0
DOUTOR ULYSSES;0
ENEAS MARQUES;0
ENGENHEIRO BELTRAO;0
ENTRE RIOS DO OESTE;0
ESPERANCA NOVA;0
ESPIGAO ALTO DO IGUACU;0
